id,date,diary_day,tran,time,amnt,pi,merch,device,in_person,tran_report,amnt_orig,pi_orig,in_person_orig,device_orig,bill_orig,pay030,past_service,why_not_billpref,fee_flag,from_bill_section,regularity,late_fee,receipt_timing,cc_num_used,automatic,merch_orig,report_date,pay010,pay020,pay040,pay041,pay050,pay082,durable_type,why_not_pref,debit_auth,prepaid_logo,pay_timing,monord_source,monord_date,mobile_funding,otherpi_type,otherpi_funding,mobile_method,unexpected,can_postpone,used_heloc,borrowed_for_purchase,prior_goods,prior_goods_time,mobile_whichapp,frequency,fixed_amount,pay011,loan_amnt_due,inconsistency_explain,paypref_tran,dc_num_used,authorization_method,cc_debt_amnt,pay016,pay042,cc_debt_canpay,module,due_date,draft_date,discount,tran_min,from_account,date_authorized,ind_payee,enough_cash,accept_cash,accept_card,payee_orig,p2p_purpose,to_account,multipi_breakdown,checker,hh_income,home_value,home_debt,other_assets,other_debts,hh_income_gt500k,bill,payee,cw_location,cw_source,cd_location,cd_account,tran_account,fee_amnt,tran_inst,tran_days,check_dep_src,income_type,income_howpaid,split_income_deposit,ppload_gpr,ppload_loc,ow_type,coin2cash_coin_amnt,coin2cash_loc,coin2cash_reimburse,cash_move,payment,income
102350,2019-10-31,2,1,1800,34,4,1,6,1,1,34,4,1,6,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,1,NA,NA,NA,NA,NA,Purchases,NA,NA,0,0,NA,NA,NA,0,1,NA,7,NA,NA,,0,50000,300000,25000,0,16000,NA,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
102350,2019-10-31,2,3,NA,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,Income/Checking Deposits duplicate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1
102350,2019-11-01,3,1,1017,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,Cash Withdrawals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
102350,2019-11-01,3,2,1215,11.89,1,3,7,1,1,11.89,1,1,7,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,Purchases,NA,NA,0,0,NA,NA,NA,NA,NA,1,7,NA,NA,,0,50000,300000,25000,0,16000,NA,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
102248,2018-10-28,1,1,730,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,Cash Withdrawals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
102248,2019-10-01,1,1,1200,13,6,10,7,0,3,13,6,0,7,1,NA,NA,NA,NA,2,3,0,3,NA,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,set it up online on the website to draft from my bank acc't,NA,NA,NA,NA,NA,NA,NA,Purchases,2019-10-01,2019-10-01,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,,0,89000,NA,NA,600000,36000,NA,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
102248,2019-10-01,1,2,2100,500,6,16,1,0,1,500,10,0,1,1,NA,NA,10,NA,2,3,0,3,NA,0,16,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,0,1,NA,NA,NA,NA,1,NA,1,NA,NA,,NA,NA,NA,NA,NA,NA,NA,Purchases,2019-10-01,NA,NA,NA,NA,NA,3,NA,NA,NA,6,7,NA,,0,89000,NA,NA,600000,36000,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
102248,2019-10-01,1,3,2118,23,4,1,6,1,2,23,4,1,6,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,1,NA,NA,NA,NA,NA,Purchases,NA,NA,0,0,NA,NA,NA,1,1,NA,7,NA,NA,,0,89000,NA,NA,600000,36000,NA,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
102248,2019-10-03,3,1,735,182,6,8,1,0,1,182,6,0,1,1,NA,NA,NA,NA,2,3,0,1,NA,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,1,NA,NA,2,NA,NA,,NA,NA,NA,NA,NA,NA,NA,Purchases,2019-10-01,2019-10-03,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,,0,89000,NA,NA,600000,36000,NA,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
102248,2019-10-03,3,2,837,128,6,8,1,0,2,128,6,0,1,1,NA,NA,NA,NA,2,3,NA,1,NA,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,1,NA,NA,2,NA,NA,,NA,NA,NA,NA,NA,NA,NA,Purchases,2019-10-21,2019-10-03,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,,0,89000,NA,NA,600000,36000,NA,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
