id,date,login_date,diary_day,why_nocash,denom_1_end,denom_2_end,denom_5_end,denom_10_end,denom_20_end,denom_50_end,denom_100_end,denom_1_stored,denom_2_stored,denom_5_stored,denom_10_stored,denom_20_stored,denom_50_stored,denom_100_stored,chk_bal,chk_bal_time,gpr_bal,gpr_bal_date,gpr_bal_time,paypal_bal,paypal_bal_time,sav_bal,sav_bal_time,nopayments,carry_csh,carry_chk,carry_cc,carry_dc,carry_prepaid,carry_banp,carry_obbp,carry_monord,carry_paypal,carry_acnt2acnt,carry_oth,carry_coins,used_coins,num_times_used_coins,pay_amnt_coins,penny_change,penny_wherekeep,penny_howuse,fastpay_heardof,fastpay_use,fastpay_other_use,fastpay_other_know,dow_weight,daily_weight,fastpay_use_z,fastpay_use_v,fastpay_use_p,fastpay_use_b,fastpay_use_o,fastpay_know_z,fastpay_know_v,fastpay_know_p,fastpay_know_b,fastpay_know_o,traveled,end_cash_bal
101733,2019-10-16,2019-10-16,1,NA,0,0,3,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,20,1614,NA,NA,NA,NA,,NA,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,2,1,2,NA,,,0.6147598624229431,0.6511632204055786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,25
101733,2019-10-17,2019-10-17,2,NA,0,0,3,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,20,1615,NA,NA,NA,NA,,NA,,NA,1,1,1,1,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,,,0.6652809977531433,0.5641871690750122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,25
101733,2019-10-18,2019-10-18,3,NA,0,0,3,1,0,0,0,0,0,0,0,0,0,0,49,1655,NA,NA,NA,NA,,NA,,NA,1,1,1,1,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,,,0.6732468008995056,0.579231321811676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,25
104305,2019-10-20,2019-10-20,0,NA,2,0,1,0,0,0,0,0,0,0,0,1,0,0,200,815,20,2019-10-20,715,NA,,0,08:13 AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
104305,2019-10-21,2019-10-21,1,NA,2,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,95,1620,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,3,1,2,NA,,,0.3592725396156311,0.36334535479545593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7
104305,2019-10-22,2019-10-23,2,NA,2,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,200,1930,NA,NA,NA,NA,,NA,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,0.46456852555274963,0.2822670042514801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7
104305,2019-10-23,2019-10-23,3,NA,2,0,1,0,0,0,0,0,0,0,0,0,0,0,200,1925,0,2019-10-23,632,NA,,NA,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,0.24998070299625397,0.23265500366687775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7
104388,2019-10-29,2019-10-29,0,NA,0,0,2,0,1,0,5,0,0,0,0,0,0,4,20648,2217,NA,NA,NA,NA,,55986,10:18 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,530
104388,2019-10-30,2019-10-30,1,NA,0,0,2,0,1,0,5,NA,NA,NA,NA,NA,NA,NA,20848,2215,NA,NA,NA,NA,,NA,,NA,1,1,1,0,0,0,1,0,0,0,0,1,NA,NA,NA,2,3,1,2,NA,,,0.3437884747982025,0.5071917176246643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,530
104388,2019-10-31,2019-10-31,2,NA,6,0,2,0,3,0,4,NA,NA,NA,NA,NA,NA,NA,23022,2130,NA,NA,NA,NA,,NA,,NA,1,1,1,0,0,0,1,0,1,1,0,1,1,1,60,NA,NA,NA,NA,NA,,,0.3418874442577362,0.4325014352798462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,476
104388,2019-11-01,2019-11-01,3,NA,1,0,1,0,1,1,4,0,0,0,0,0,0,0,23022,1800,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,476
102481,2019-09-29,2019-09-30,0,1,0,0,0,0,0,0,0,1,0,6,7,9,0,0,8735,2145,NA,NA,NA,NA,,7623,09:45 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
102481,2019-09-30,2019-09-30,1,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,8735,2145,NA,NA,NA,NA,,NA,,NA,0,0,1,1,0,0,0,0,0,0,0,0,0,NA,NA,1,3,4,2,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
102481,2019-10-01,2019-10-01,2,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,9601,2108,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,0.4446800649166107,0.5884785652160645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
102481,2019-10-02,2019-10-03,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9294,2024,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,0.3650093674659729,0.44011396169662476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
101135,2019-10-15,2019-10-15,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,95,1800,NA,NA,NA,NA,,500,06:00 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
101135,2019-10-16,2019-10-16,1,NA,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,95,1530,NA,NA,NA,NA,,NA,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,3,3,2,NA,,,0.3568214774131775,0.4605093002319336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10
101135,2019-10-17,2019-10-17,2,NA,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1655,NA,NA,NA,NA,,NA,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,0.3391987979412079,0.41063785552978516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10
101135,2019-10-18,2019-10-18,3,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1618,NA,NA,NA,NA,,NA,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,0.32868942618370056,0.47133195400238037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10
