sample_scope,id,payment_pi,payment_type,weighted_count_denominator,weighted_count_numerator,weighted_dollar_denominator,weighted_dollar_numerator,weighted_count_share,weighted_dollar_share
full_unrestricted,105101,6,Bank account number payment,4.356382489204407,0,129.3897389268875,0,0,0
full_unrestricted,105101,7,Online banking bill payment,4.356382489204407,0,129.3897389268875,0,0,0
full_unrestricted,105101,8,Money order,4.356382489204407,0,129.3897389268875,0,0,0
full_unrestricted,105101,10,Mobile payment app,4.356382489204407,0,129.3897389268875,0,0,0
full_unrestricted,105101,11,Account-to-account transfer,4.356382489204407,0,129.3897389268875,0,0,0
full_unrestricted,105101,13,Other payment method,4.356382489204407,0,129.3897389268875,0,0,0
full_unrestricted,105101,14,Deduction from income,4.356382489204407,0,129.3897389268875,0,0,0
full_unrestricted,105104,1,Cash,0.5109405517578125,0,233.51516036987303,0,0,0
full_unrestricted,105104,2,Check,0.5109405517578125,0,233.51516036987303,0,0,0
full_unrestricted,105104,3,Credit card,0.5109405517578125,0,233.51516036987303,0,0,0
full_unrestricted,105104,4,Debit card,0.5109405517578125,0.5109405517578125,233.51516036987303,233.51516036987303,1,1
full_unrestricted,105104,5,Prepaid/gift/EBT card,0.5109405517578125,0,233.51516036987303,0,0,0
full_unrestricted,105104,6,Bank account number payment,0.5109405517578125,0,233.51516036987303,0,0,0
full_unrestricted,105104,7,Online banking bill payment,0.5109405517578125,0,233.51516036987303,0,0,0
full_unrestricted,105104,8,Money order,0.5109405517578125,0,233.51516036987303,0,0,0
full_unrestricted,105104,10,Mobile payment app,0.5109405517578125,0,233.51516036987303,0,0,0
full_unrestricted,105104,11,Account-to-account transfer,0.5109405517578125,0,233.51516036987303,0,0,0
full_unrestricted,105104,13,Other payment method,0.5109405517578125,0,233.51516036987303,0,0,0
full_unrestricted,105104,14,Deduction from income,0.5109405517578125,0,233.51516036987303,0,0,0
full_unrestricted,105109,1,Cash,0.9992527663707733,0.7494973093271255,9.743926897644997,7.496127784252167,0.7500577777225028,0.7693128102247874
full_unrestricted,105109,2,Check,0.9992527663707733,0,9.743926897644997,0,0,0
full_unrestricted,105109,3,Credit card,0.9992527663707733,0,9.743926897644997,0,0,0
full_unrestricted,105109,4,Debit card,0.9992527663707733,0,9.743926897644997,0,0,0
full_unrestricted,105109,5,Prepaid/gift/EBT card,0.9992527663707733,0.24975545704364777,9.743926897644997,2.24779911339283,0.24994222227749716,0.2306871897752126
full_unrestricted,105109,6,Bank account number payment,0.9992527663707733,0,9.743926897644997,0,0,0
full_unrestricted,105109,7,Online banking bill payment,0.9992527663707733,0,9.743926897644997,0,0,0
full_unrestricted,105109,8,Money order,0.9992527663707733,0,9.743926897644997,0,0,0
full_unrestricted,105109,10,Mobile payment app,0.9992527663707733,0,9.743926897644997,0,0,0
full_unrestricted,105109,11,Account-to-account transfer,0.9992527663707733,0,9.743926897644997,0,0,0
full_unrestricted,105109,13,Other payment method,0.9992527663707733,0,9.743926897644997,0,0,0
full_unrestricted,105109,14,Deduction from income,0.9992527663707733,0,9.743926897644997,0,0,0
full_unrestricted,105111,1,Cash,2.260148346424103,1.1591699123382568,126.3841806769371,49.264721274375916,0.5128733758437756,0.3898013264833062
full_unrestricted,105111,2,Check,2.260148346424103,0.5213934779167175,126.3841806769371,52.13934779167175,0.2306899362343366,0.41254647149986445
full_unrestricted,105111,3,Credit card,2.260148346424103,0.5795849561691284,126.3841806769371,24.980111610889434,0.2564366879218878,0.19765220201682937
full_unrestricted,105111,4,Debit card,2.260148346424103,0,126.3841806769371,0,0,0
full_unrestricted,105111,5,Prepaid/gift/EBT card,2.260148346424103,0,126.3841806769371,0,0,0
full_unrestricted,105111,6,Bank account number payment,2.260148346424103,0,126.3841806769371,0,0,0
full_unrestricted,105111,7,Online banking bill payment,2.260148346424103,0,126.3841806769371,0,0,0
full_unrestricted,105111,8,Money order,2.260148346424103,0,126.3841806769371,0,0,0
full_unrestricted,105111,10,Mobile payment app,2.260148346424103,0,126.3841806769371,0,0,0
full_unrestricted,105111,11,Account-to-account transfer,2.260148346424103,0,126.3841806769371,0,0,0
full_unrestricted,105111,13,Other payment method,2.260148346424103,0,126.3841806769371,0,0,0
full_unrestricted,105111,14,Deduction from income,2.260148346424103,0,126.3841806769371,0,0,0
full_unrestricted,105114,1,Cash,0.9945063889026642,0.5435580611228943,39.662292753159996,2.3372996628284453,0.5465606527904309,0.058930018931954625
full_unrestricted,105114,2,Check,0.9945063889026642,0,39.662292753159996,0,0,0
full_unrestricted,105114,3,Credit card,0.9945063889026642,0.4509483277797699,39.662292753159996,37.32499309033155,0.4534393472095691,0.9410699810680454
full_unrestricted,105114,4,Debit card,0.9945063889026642,0,39.662292753159996,0,0,0
