transaction_row_id,id,diary_day,tran,transaction_date,diary_date,dow_weight,amnt,payment,pi,payment_instrument,multipi_breakdown,mixed_payment_method,ambiguous_payment_method,merch,tely_group,tely_category,category_rule,crosswalk_quality,pay010,pay011,pay016,pay020,pay030,pay040,pay041,pay042,pay050,count_eligible,dollar_eligible,liquid_narrow_count,liquid_broad_count,not_liquid_narrow_count,not_liquid_broad_count,liquid_narrow_amount,liquid_broad_amount,parsed_component_total,component_total_gap,component_total_matches
14478,104524,1,6,2019-10-12,2019-10-12,1.15557861328125,16.61,1,3,Credit card,,FALSE,FALSE,4,food_alcohol_tobacco_proxy,food_fast_service_proxy,merch4_fast_food_coffee,merchant_proxy,,,,,,,,,,TRUE,TRUE,0,0,1,1,0,0,16.61,0,TRUE
14479,104524,1,7,2019-10-12,2019-10-12,1.15557861328125,6.66,1,4,Debit card,,FALSE,FALSE,4,food_alcohol_tobacco_proxy,food_fast_service_proxy,merch4_fast_food_coffee,merchant_proxy,,,,,,,,,,TRUE,TRUE,1,1,0,0,6.66,6.66,6.66,0,TRUE
14480,104524,2,1,2019-10-13,2019-10-13,0.9558972716331482,35,1,3,Credit card,,FALSE,FALSE,17,cash_contributions,cash_contributions,merch17_pay050_donation_or_offering,followup_identified,,,,,,,,,1,TRUE,TRUE,0,0,1,1,0,0,35,0,TRUE
14481,104524,2,2,2019-10-13,2019-10-13,0.9558972716331482,250,1,6,Bank account number payment,,FALSE,FALSE,17,cash_contributions,cash_contributions,merch17_pay050_donation_or_offering,followup_identified,,,,,,,,,1,TRUE,TRUE,0,1,1,0,0,250,250,0,TRUE
14482,104524,2,3,2019-10-13,2019-10-13,0.9558972716331482,44.6,1,3,Credit card,,FALSE,FALSE,3,food_alcohol_tobacco_proxy,food_restaurant_bar_proxy,merch3_restaurant_bar,merchant_proxy,,,,,,,,,,TRUE,TRUE,0,0,1,1,0,0,44.6,0,TRUE
14483,104524,2,4,2019-10-13,2019-10-13,0.9558972716331482,8,1,4,Debit card,,FALSE,FALSE,4,food_alcohol_tobacco_proxy,food_fast_service_proxy,merch4_fast_food_coffee,merchant_proxy,,,,,,,,,,TRUE,TRUE,1,1,0,0,8,8,8,0,TRUE
14487,104524,3,1,2019-10-14,2019-10-14,1.6183996200561523,1.29,1,3,Credit card,,FALSE,FALSE,10,utilities,communications_entertainment_proxy,merch10_communications_streaming_movies,merchant_proxy,,,,,,,,,,TRUE,TRUE,0,0,1,1,0,0,1.29,0,TRUE
14488,104524,3,2,2019-10-14,2019-10-14,1.6183996200561523,38.56,1,3,Credit card,,FALSE,FALSE,3,food_alcohol_tobacco_proxy,food_restaurant_bar_proxy,merch3_restaurant_bar,merchant_proxy,,,,,,,,,,TRUE,TRUE,0,0,1,1,0,0,38.56,0,TRUE
14490,100782,1,2,2019-10-26,2019-10-26,0.9001902937889099,115.29,1,3,Credit card,,FALSE,FALSE,3,food_alcohol_tobacco_proxy,food_restaurant_bar_proxy,merch3_restaurant_bar,merchant_proxy,,,,,,,,,,TRUE,TRUE,0,0,1,1,0,0,115.29,0,TRUE
14497,100782,2,3,2019-10-27,2019-10-27,0.7085418701171875,11,1,1,Cash,,FALSE,FALSE,4,food_alcohol_tobacco_proxy,food_fast_service_proxy,merch4_fast_food_coffee,merchant_proxy,,,,,,,,,,TRUE,TRUE,1,1,0,0,11,11,11,0,TRUE
