cohort_rule,age_rule,income_rule,debt_validity_rule,partial_panel_rule,full_panel_definition,n_households,n_complete_12_month_households,n_partial_panel_households,group,paper,replication,diff
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags plus explicit finance-charge record,retain fifth-only panels,12 MTBI nonmissing-cost months,3012,2258,754,Save,64,63.95320178958426,-0.046798210415737174
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags plus explicit finance-charge record,retain fifth-only panels,12 MTBI positive-total months,3012,1995,1017,Borrow,7,7.439665715690635,0.4396657156906354
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags plus explicit finance-charge record,retain fifth-only panels,12 MTBI positive-total months,3012,1995,1017,Borrow and save,29,28.60713249472528,-0.3928675052747188
inferred first interview,age 25-64 at interview 5,income/reporting at interview 5,valid flags plus explicit finance-charge record,retain fifth-only panels,12 MTBI positive-total months,3012,1995,1017,Save,64,63.95320178958426,-0.046798210415737174
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags; absent balance record is zero,exclude fifth-only panels,FMLI interviews 2-5,2549,2089,460,Borrow,7,7.327259213376695,0.3272592133766947
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags; absent balance record is zero,exclude fifth-only panels,FMLI interviews 2-5,2549,2089,460,Borrow and save,29,30.582017045833677,1.5820170458336769
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags; absent balance record is zero,exclude fifth-only panels,FMLI interviews 2-5,2549,2089,460,Save,64,62.090723740789805,-1.9092762592101948
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags; absent balance record is zero,exclude fifth-only panels,consecutive FMLI interviews 2-5,2549,2089,460,Borrow,7,7.327259213376695,0.3272592133766947
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags; absent balance record is zero,exclude fifth-only panels,consecutive FMLI interviews 2-5,2549,2089,460,Borrow and save,29,30.582017045833677,1.5820170458336769
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags; absent balance record is zero,exclude fifth-only panels,consecutive FMLI interviews 2-5,2549,2089,460,Save,64,62.090723740789805,-1.9092762592101948
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags; absent balance record is zero,exclude fifth-only panels,12 MTBI record months,2549,2089,460,Borrow,7,7.327259213376695,0.3272592133766947
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags; absent balance record is zero,exclude fifth-only panels,12 MTBI record months,2549,2089,460,Borrow and save,29,30.582017045833677,1.5820170458336769
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags; absent balance record is zero,exclude fifth-only panels,12 MTBI record months,2549,2089,460,Save,64,62.090723740789805,-1.9092762592101948
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags; absent balance record is zero,exclude fifth-only panels,12 MTBI nonmissing-cost months,2549,2089,460,Borrow,7,7.327259213376695,0.3272592133766947
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags; absent balance record is zero,exclude fifth-only panels,12 MTBI nonmissing-cost months,2549,2089,460,Borrow and save,29,30.582017045833677,1.5820170458336769
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags; absent balance record is zero,exclude fifth-only panels,12 MTBI nonmissing-cost months,2549,2089,460,Save,64,62.090723740789805,-1.9092762592101948
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags; absent balance record is zero,exclude fifth-only panels,12 MTBI positive-total months,2549,1838,711,Borrow,7,7.327259213376695,0.3272592133766947
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags; absent balance record is zero,exclude fifth-only panels,12 MTBI positive-total months,2549,1838,711,Borrow and save,29,30.582017045833677,1.5820170458336769
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags; absent balance record is zero,exclude fifth-only panels,12 MTBI positive-total months,2549,1838,711,Save,64,62.090723740789805,-1.9092762592101948
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags; absent balance record is zero,retain fifth-only panels,FMLI interviews 2-5,2744,2089,655,Borrow,7,7.446404108847106,0.4464041088471058
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags; absent balance record is zero,retain fifth-only panels,FMLI interviews 2-5,2744,2089,655,Borrow and save,29,29.673759955710462,0.6737599557104623
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags; absent balance record is zero,retain fifth-only panels,FMLI interviews 2-5,2744,2089,655,Save,64,62.87983593544269,-1.1201640645573079
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags; absent balance record is zero,retain fifth-only panels,consecutive FMLI interviews 2-5,2744,2089,655,Borrow,7,7.446404108847106,0.4464041088471058
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags; absent balance record is zero,retain fifth-only panels,consecutive FMLI interviews 2-5,2744,2089,655,Borrow and save,29,29.673759955710462,0.6737599557104623
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags; absent balance record is zero,retain fifth-only panels,consecutive FMLI interviews 2-5,2744,2089,655,Save,64,62.87983593544269,-1.1201640645573079
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags; absent balance record is zero,retain fifth-only panels,12 MTBI record months,2744,2089,655,Borrow,7,7.446404108847106,0.4464041088471058
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags; absent balance record is zero,retain fifth-only panels,12 MTBI record months,2744,2089,655,Borrow and save,29,29.673759955710462,0.6737599557104623
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags; absent balance record is zero,retain fifth-only panels,12 MTBI record months,2744,2089,655,Save,64,62.87983593544269,-1.1201640645573079
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags; absent balance record is zero,retain fifth-only panels,12 MTBI nonmissing-cost months,2744,2089,655,Borrow,7,7.446404108847106,0.4464041088471058
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags; absent balance record is zero,retain fifth-only panels,12 MTBI nonmissing-cost months,2744,2089,655,Borrow and save,29,29.673759955710462,0.6737599557104623
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags; absent balance record is zero,retain fifth-only panels,12 MTBI nonmissing-cost months,2744,2089,655,Save,64,62.87983593544269,-1.1201640645573079
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags; absent balance record is zero,retain fifth-only panels,12 MTBI positive-total months,2744,1838,906,Borrow,7,7.446404108847106,0.4464041088471058
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags; absent balance record is zero,retain fifth-only panels,12 MTBI positive-total months,2744,1838,906,Borrow and save,29,29.673759955710462,0.6737599557104623
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags; absent balance record is zero,retain fifth-only panels,12 MTBI positive-total months,2744,1838,906,Save,64,62.87983593544269,-1.1201640645573079
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags plus explicit finance-charge record,exclude fifth-only panels,FMLI interviews 2-5,2549,2089,460,Borrow,7,7.327259213376695,0.3272592133766947
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags plus explicit finance-charge record,exclude fifth-only panels,FMLI interviews 2-5,2549,2089,460,Borrow and save,29,30.582017045833677,1.5820170458336769
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags plus explicit finance-charge record,exclude fifth-only panels,FMLI interviews 2-5,2549,2089,460,Save,64,62.090723740789805,-1.9092762592101948
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags plus explicit finance-charge record,exclude fifth-only panels,consecutive FMLI interviews 2-5,2549,2089,460,Borrow,7,7.327259213376695,0.3272592133766947
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags plus explicit finance-charge record,exclude fifth-only panels,consecutive FMLI interviews 2-5,2549,2089,460,Borrow and save,29,30.582017045833677,1.5820170458336769
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags plus explicit finance-charge record,exclude fifth-only panels,consecutive FMLI interviews 2-5,2549,2089,460,Save,64,62.090723740789805,-1.9092762592101948
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags plus explicit finance-charge record,exclude fifth-only panels,12 MTBI record months,2549,2089,460,Borrow,7,7.327259213376695,0.3272592133766947
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags plus explicit finance-charge record,exclude fifth-only panels,12 MTBI record months,2549,2089,460,Borrow and save,29,30.582017045833677,1.5820170458336769
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags plus explicit finance-charge record,exclude fifth-only panels,12 MTBI record months,2549,2089,460,Save,64,62.090723740789805,-1.9092762592101948
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags plus explicit finance-charge record,exclude fifth-only panels,12 MTBI nonmissing-cost months,2549,2089,460,Borrow,7,7.327259213376695,0.3272592133766947
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags plus explicit finance-charge record,exclude fifth-only panels,12 MTBI nonmissing-cost months,2549,2089,460,Borrow and save,29,30.582017045833677,1.5820170458336769
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags plus explicit finance-charge record,exclude fifth-only panels,12 MTBI nonmissing-cost months,2549,2089,460,Save,64,62.090723740789805,-1.9092762592101948
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags plus explicit finance-charge record,exclude fifth-only panels,12 MTBI positive-total months,2549,1838,711,Borrow,7,7.327259213376695,0.3272592133766947
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags plus explicit finance-charge record,exclude fifth-only panels,12 MTBI positive-total months,2549,1838,711,Borrow and save,29,30.582017045833677,1.5820170458336769
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags plus explicit finance-charge record,exclude fifth-only panels,12 MTBI positive-total months,2549,1838,711,Save,64,62.090723740789805,-1.9092762592101948
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags plus explicit finance-charge record,retain fifth-only panels,FMLI interviews 2-5,2744,2089,655,Borrow,7,7.446404108847106,0.4464041088471058
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags plus explicit finance-charge record,retain fifth-only panels,FMLI interviews 2-5,2744,2089,655,Borrow and save,29,29.673759955710462,0.6737599557104623
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags plus explicit finance-charge record,retain fifth-only panels,FMLI interviews 2-5,2744,2089,655,Save,64,62.87983593544269,-1.1201640645573079
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags plus explicit finance-charge record,retain fifth-only panels,consecutive FMLI interviews 2-5,2744,2089,655,Borrow,7,7.446404108847106,0.4464041088471058
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags plus explicit finance-charge record,retain fifth-only panels,consecutive FMLI interviews 2-5,2744,2089,655,Borrow and save,29,29.673759955710462,0.6737599557104623
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags plus explicit finance-charge record,retain fifth-only panels,consecutive FMLI interviews 2-5,2744,2089,655,Save,64,62.87983593544269,-1.1201640645573079
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags plus explicit finance-charge record,retain fifth-only panels,12 MTBI record months,2744,2089,655,Borrow,7,7.446404108847106,0.4464041088471058
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags plus explicit finance-charge record,retain fifth-only panels,12 MTBI record months,2744,2089,655,Borrow and save,29,29.673759955710462,0.6737599557104623
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags plus explicit finance-charge record,retain fifth-only panels,12 MTBI record months,2744,2089,655,Save,64,62.87983593544269,-1.1201640645573079
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags plus explicit finance-charge record,retain fifth-only panels,12 MTBI nonmissing-cost months,2744,2089,655,Borrow,7,7.446404108847106,0.4464041088471058
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags plus explicit finance-charge record,retain fifth-only panels,12 MTBI nonmissing-cost months,2744,2089,655,Borrow and save,29,29.673759955710462,0.6737599557104623
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags plus explicit finance-charge record,retain fifth-only panels,12 MTBI nonmissing-cost months,2744,2089,655,Save,64,62.87983593544269,-1.1201640645573079
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags plus explicit finance-charge record,retain fifth-only panels,12 MTBI positive-total months,2744,1838,906,Borrow,7,7.446404108847106,0.4464041088471058
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags plus explicit finance-charge record,retain fifth-only panels,12 MTBI positive-total months,2744,1838,906,Borrow and save,29,29.673759955710462,0.6737599557104623
inferred first interview,age 25-64 at interview 5,income/reporting at earliest observed interview,valid flags plus explicit finance-charge record,retain fifth-only panels,12 MTBI positive-total months,2744,1838,906,Save,64,62.87983593544269,-1.1201640645573079
inferred first interview,age 25-64 at interview 5,income/reporting throughout observed panel,valid flags; absent balance record is zero,exclude fifth-only panels,FMLI interviews 2-5,2420,1986,434,Borrow,7,7.343807914269201,0.34380791426920077
inferred first interview,age 25-64 at interview 5,income/reporting throughout observed panel,valid flags; absent balance record is zero,exclude fifth-only panels,FMLI interviews 2-5,2420,1986,434,Borrow and save,29,30.74272627900572,1.7427262790057192
inferred first interview,age 25-64 at interview 5,income/reporting throughout observed panel,valid flags; absent balance record is zero,exclude fifth-only panels,FMLI interviews 2-5,2420,1986,434,Save,64,61.91346580672513,-2.086534193274872
inferred first interview,age 25-64 at interview 5,income/reporting throughout observed panel,valid flags; absent balance record is zero,exclude fifth-only panels,consecutive FMLI interviews 2-5,2420,1986,434,Borrow,7,7.343807914269201,0.34380791426920077
inferred first interview,age 25-64 at interview 5,income/reporting throughout observed panel,valid flags; absent balance record is zero,exclude fifth-only panels,consecutive FMLI interviews 2-5,2420,1986,434,Borrow and save,29,30.74272627900572,1.7427262790057192
inferred first interview,age 25-64 at interview 5,income/reporting throughout observed panel,valid flags; absent balance record is zero,exclude fifth-only panels,consecutive FMLI interviews 2-5,2420,1986,434,Save,64,61.91346580672513,-2.086534193274872
inferred first interview,age 25-64 at interview 5,income/reporting throughout observed panel,valid flags; absent balance record is zero,exclude fifth-only panels,12 MTBI record months,2420,1986,434,Borrow,7,7.343807914269201,0.34380791426920077
inferred first interview,age 25-64 at interview 5,income/reporting throughout observed panel,valid flags; absent balance record is zero,exclude fifth-only panels,12 MTBI record months,2420,1986,434,Borrow and save,29,30.74272627900572,1.7427262790057192
inferred first interview,age 25-64 at interview 5,income/reporting throughout observed panel,valid flags; absent balance record is zero,exclude fifth-only panels,12 MTBI record months,2420,1986,434,Save,64,61.91346580672513,-2.086534193274872
inferred first interview,age 25-64 at interview 5,income/reporting throughout observed panel,valid flags; absent balance record is zero,exclude fifth-only panels,12 MTBI nonmissing-cost months,2420,1986,434,Borrow,7,7.343807914269201,0.34380791426920077
inferred first interview,age 25-64 at interview 5,income/reporting throughout observed panel,valid flags; absent balance record is zero,exclude fifth-only panels,12 MTBI nonmissing-cost months,2420,1986,434,Borrow and save,29,30.74272627900572,1.7427262790057192
inferred first interview,age 25-64 at interview 5,income/reporting throughout observed panel,valid flags; absent balance record is zero,exclude fifth-only panels,12 MTBI nonmissing-cost months,2420,1986,434,Save,64,61.91346580672513,-2.086534193274872
inferred first interview,age 25-64 at interview 5,income/reporting throughout observed panel,valid flags; absent balance record is zero,exclude fifth-only panels,12 MTBI positive-total months,2420,1749,671,Borrow,7,7.343807914269201,0.34380791426920077
