characteristic,candidate,variable,group,paper,replication,diff
Marital status: married,raw X7372 == 1 | X8023 == 2,married_legal_or_current_partner,Borrow and save,62,66.51628303312143,4.516283033121425
Marital status: married,raw X7372 == 1 | X8023 == 2,married_legal_or_current_partner,Save,58,61.25027322486092,3.250273224860919
Marital status: married,raw X7372 == 1 | X8023 == 2,married_legal_or_current_partner,Population,59,62.28353750426654,3.2835375042665405
Marital status: married,raw X8023 in 1:2,married_or_partnered,Borrow,48,53.61671617860305,5.616716178603049
Marital status: married,raw X8023 in 1:2,married_or_partnered,Borrow and save,62,66.51628303312143,4.516283033121425
Marital status: married,raw X8023 in 1:2,married_or_partnered,Save,58,61.25027322486092,3.250273224860919
Marital status: married,raw X8023 in 1:2,married_or_partnered,Population,59,62.28353750426654,3.2835375042665405
Marital status: married,summary MARRIED == 1,married_summary,Borrow,48,53.61671617860305,5.616716178603049
Marital status: married,summary MARRIED == 1,married_summary,Borrow and save,62,66.51628303312143,4.516283033121425
Marital status: married,summary MARRIED == 1,married_summary,Save,58,61.25027322486092,3.250273224860919
Marital status: married,summary MARRIED == 1,married_summary,Population,59,62.28353750426654,3.2835375042665405
Marital status: married,raw FAMSTRUCT in 4:5,married_from_raw_famstruct,Borrow,48,53.61671617860305,5.616716178603049
Marital status: married,raw FAMSTRUCT in 4:5,married_from_raw_famstruct,Borrow and save,62,66.51628303312143,4.516283033121425
Marital status: married,raw FAMSTRUCT in 4:5,married_from_raw_famstruct,Save,58,61.25027322486092,3.250273224860919
Marital status: married,raw FAMSTRUCT in 4:5,married_from_raw_famstruct,Population,59,62.28353750426654,3.2835375042665405
Marital status: married,summary FAMSTRUCT in 4:5,married_from_summary_famstruct,Borrow,48,53.61671617860305,5.616716178603049
Marital status: married,summary FAMSTRUCT in 4:5,married_from_summary_famstruct,Borrow and save,62,66.51628303312143,4.516283033121425
Marital status: married,summary FAMSTRUCT in 4:5,married_from_summary_famstruct,Save,58,61.25027322486092,3.250273224860919
Marital status: married,summary FAMSTRUCT in 4:5,married_from_summary_famstruct,Population,59,62.28353750426654,3.2835375042665405
