characteristic,candidate,variable,group,paper,replication,diff
Head white-collar/prof.,raw X7401 in 1:2,head_white_collar_prof_raw,Borrow and save,61,56.501301987881156,-4.498698012118844
Head white-collar/prof.,raw X7401 in 1:2,head_white_collar_prof_raw,Save,58,48.62335895073707,-9.376641049262929
Head white-collar/prof.,raw X7401 in 1:2,head_white_collar_prof_raw,Population,58,50.2534456803622,-7.746554319637802
Head white-collar/prof.,public X7401 in 1:2,head_white_collar_public_12,Borrow,48,38.91679832530378,-9.08320167469622
Head white-collar/prof.,public X7401 in 1:2,head_white_collar_public_12,Borrow and save,61,56.501301987881156,-4.498698012118844
Head white-collar/prof.,public X7401 in 1:2,head_white_collar_public_12,Save,58,48.62335895073707,-9.376641049262929
Head white-collar/prof.,public X7401 in 1:2,head_white_collar_public_12,Population,58,50.2534456803622,-7.746554319637802
Head white-collar/prof.,raw X7401 in 1:3,head_white_collar_prof_raw_broad,Borrow,48,49.98832388893062,1.9883238889306227
Head white-collar/prof.,raw X7401 in 1:3,head_white_collar_prof_raw_broad,Borrow and save,61,66.92114842986726,5.921148429867259
Head white-collar/prof.,raw X7401 in 1:3,head_white_collar_prof_raw_broad,Save,58,57.59068237195153,-0.40931762804846983
Head white-collar/prof.,raw X7401 in 1:3,head_white_collar_prof_raw_broad,Population,58,59.71297822446013,1.7129782244601301
Head white-collar/prof.,public X7401 in 1:3,head_white_collar_public_13,Borrow,48,49.98832388893062,1.9883238889306227
Head white-collar/prof.,public X7401 in 1:3,head_white_collar_public_13,Borrow and save,61,66.92114842986726,5.921148429867259
Head white-collar/prof.,public X7401 in 1:3,head_white_collar_public_13,Save,58,57.59068237195153,-0.40931762804846983
Head white-collar/prof.,public X7401 in 1:3,head_white_collar_public_13,Population,58,59.71297822446013,1.7129782244601301
Head white-collar/prof.,"public X7401 in 1:3, drop missing/imputed J7401 >= 997",head_white_collar_public_13_drop_missing_imputed,Borrow,48,49.58762187291002,1.5876218729100202
Head white-collar/prof.,"public X7401 in 1:3, drop missing/imputed J7401 >= 997",head_white_collar_public_13_drop_missing_imputed,Borrow and save,61,66.90067383999018,5.900673839990176
Head white-collar/prof.,"public X7401 in 1:3, drop missing/imputed J7401 >= 997",head_white_collar_public_13_drop_missing_imputed,Save,58,57.53189001765943,-0.46810998234057166
Head white-collar/prof.,"public X7401 in 1:3, drop missing/imputed J7401 >= 997",head_white_collar_public_13_drop_missing_imputed,Population,58,59.67615758316845,1.6761575831684468
Head white-collar/prof.,"public X7401 in 1:3, J7401 < 90",head_white_collar_public_13_reported_coded,Borrow,48,48.81327594608598,0.8132759460859802
Head white-collar/prof.,"public X7401 in 1:3, J7401 < 90",head_white_collar_public_13_reported_coded,Borrow and save,61,66.79802942972384,5.79802942972384
Head white-collar/prof.,"public X7401 in 1:3, J7401 < 90",head_white_collar_public_13_reported_coded,Save,58,56.59882364664672,-1.4011763533532786
Head white-collar/prof.,"public X7401 in 1:3, J7401 < 90",head_white_collar_public_13_reported_coded,Population,58,58.94454511111839,0.9445451111183871
Head white-collar/prof.,public X7401 in 1:3 & full-time,head_white_collar_public_13_full_time,Borrow,48,46.93148008554181,-1.068519914458193
Head white-collar/prof.,public X7401 in 1:3 & full-time,head_white_collar_public_13_full_time,Borrow and save,61,62.66737780512048,1.6673778051204806
Head white-collar/prof.,public X7401 in 1:3 & full-time,head_white_collar_public_13_full_time,Save,58,53.04211613709504,-4.957883862904957
Head white-collar/prof.,public X7401 in 1:3 & full-time,head_white_collar_public_13_full_time,Population,58,55.31671055273139,-2.6832894472686135
Head white-collar/prof.,public X7401 in 1:3 & current worker recode,head_white_collar_public_13_current_worker,Borrow,48,49.33568200314803,1.3356820031480297
Head white-collar/prof.,public X7401 in 1:3 & current worker recode,head_white_collar_public_13_current_worker,Borrow and save,61,66.380179837151,5.380179837151005
Head white-collar/prof.,public X7401 in 1:3 & current worker recode,head_white_collar_public_13_current_worker,Save,58,56.82164299585107,-1.1783570041489284
Head white-collar/prof.,public X7401 in 1:3 & current worker recode,head_white_collar_public_13_current_worker,Population,58,59.01069109656094,1.0106910965609401
Head white-collar/prof.,public X7401 in 1:3 & employee,head_white_collar_public_13_employee,Borrow,48,43.92137707239642,-4.078622927603583
Head white-collar/prof.,public X7401 in 1:3 & employee,head_white_collar_public_13_employee,Borrow and save,61,57.82828534751474,-3.1717146524852566
Head white-collar/prof.,public X7401 in 1:3 & employee,head_white_collar_public_13_employee,Save,58,45.838763236969996,-12.161236763030004
Head white-collar/prof.,public X7401 in 1:3 & employee,head_white_collar_public_13_employee,Population,58,48.95233606668496,-9.047663933315043
Head white-collar/prof.,public X7401 in 1:2 + service employees,head_white_collar_public_12_service_employee,Borrow,48,49.28942694380863,1.2894269438086283
Head white-collar/prof.,public X7401 in 1:2 + service employees,head_white_collar_public_12_service_employee,Borrow and save,61,65.51494462364516,4.514944623645164
Head white-collar/prof.,public X7401 in 1:2 + service employees,head_white_collar_public_12_service_employee,Save,58,56.68905889261826,-1.310941107381737
Head white-collar/prof.,public X7401 in 1:2 + service employees,head_white_collar_public_12_service_employee,Population,58,58.68632614743093,0.6863261474309326
Head white-collar/prof.,public X7401 in 1:2 + service full-time,head_white_collar_public_12_service_full_time,Borrow,48,49.095813202864434,1.0958132028644343
Head white-collar/prof.,public X7401 in 1:2 + service full-time,head_white_collar_public_12_service_full_time,Borrow and save,61,65.57203249859164,4.572032498591639
Head white-collar/prof.,public X7401 in 1:2 + service full-time,head_white_collar_public_12_service_full_time,Save,58,56.04950357499179,-1.950496425008211
Head white-collar/prof.,public X7401 in 1:2 + service full-time,head_white_collar_public_12_service_full_time,Population,58,58.255115575604,0.2551155756040018
Head white-collar/prof.,public X7401 in 1:2 + service current workers,head_white_collar_public_12_service_current_worker,Borrow,48,49.33568200314803,1.3356820031480297
Head white-collar/prof.,public X7401 in 1:2 + service current workers,head_white_collar_public_12_service_current_worker,Borrow and save,61,66.79341887788314,5.793418877883141
Head white-collar/prof.,public X7401 in 1:2 + service current workers,head_white_collar_public_12_service_current_worker,Save,58,57.243753772258145,-0.7562462277418547
Head white-collar/prof.,public X7401 in 1:2 + service current workers,head_white_collar_public_12_service_current_worker,Population,58,59.40965191021893,1.4096519102189333
Head white-collar/prof.,public X7401 in 1:4,head_white_collar_public_14,Borrow,48,60.71683043501318,12.716830435013179
Head white-collar/prof.,public X7401 in 1:4,head_white_collar_public_14,Borrow and save,61,80.9824652824942,19.982465282494204
Head white-collar/prof.,public X7401 in 1:4,head_white_collar_public_14,Save,58,70.1219967889698,12.121996788969795
Head white-collar/prof.,public X7401 in 1:4,head_white_collar_public_14,Population,58,72.5649299936718,14.564929993671797
Head white-collar/prof.,summary OCCAT1 == 1,head_white_collar_occat1_summary,Borrow,48,71.20269619107698,23.20269619107698
Head white-collar/prof.,summary OCCAT1 == 1,head_white_collar_occat1_summary,Borrow and save,61,83.3166849192109,22.3166849192109
Head white-collar/prof.,summary OCCAT1 == 1,head_white_collar_occat1_summary,Save,58,70.6495578440293,12.649557844029303
Head white-collar/prof.,summary OCCAT1 == 1,head_white_collar_occat1_summary,Population,58,74.06603112485178,16.066031124851776
Head white-collar/prof.,summary OCCAT2 == 1,head_white_collar_occat2_summary,Borrow,48,16.44349573775889,-31.55650426224111
Head white-collar/prof.,summary OCCAT2 == 1,head_white_collar_occat2_summary,Borrow and save,61,35.26562976681355,-25.734370233186453
Head white-collar/prof.,summary OCCAT2 == 1,head_white_collar_occat2_summary,Save,58,32.49508353409172,-25.50491646590828
Head white-collar/prof.,summary OCCAT2 == 1,head_white_collar_occat2_summary,Population,58,32.44632138305788,-25.553678616942122
Head white-collar/prof.,summary OCCAT2 in 1:2,head_white_collar_occat2_broad_summary,Borrow,48,49.98832388893062,1.9883238889306227
Head white-collar/prof.,summary OCCAT2 in 1:2,head_white_collar_occat2_broad_summary,Borrow and save,61,66.92114842986726,5.921148429867259
Head white-collar/prof.,summary OCCAT2 in 1:2,head_white_collar_occat2_broad_summary,Save,58,57.59068237195153,-0.40931762804846983
Head white-collar/prof.,summary OCCAT2 in 1:2,head_white_collar_occat2_broad_summary,Population,58,59.71297822446013,1.7129782244601301
