sample_window,qyears,variant,debt_variable,n_households,n_complete_12_month_households,statistic,group,paper,share_pct,diff,n_households_in_group
collection_2002_4q,20021;20022;20023;20024,"finance charges >= 14% of $500, average balance 2/5",cc_debt_finance_ge_70_average_balance,3023,2250,Puzzle size (%),Borrow,7,5.128995400048027,-1.8710045999519727,161
collection_2002_4q,20021;20022;20023;20024,"finance charges >= 14% of $500, average balance 2/5",cc_debt_finance_ge_70_average_balance,3023,2250,Puzzle size (%),Borrow and save,29,21.340007487210844,-7.659992512789156,685
collection_2002_4q,20021;20022;20023;20024,"finance charges >= 14% of $500, average balance 2/5",cc_debt_finance_ge_70_average_balance,3023,2250,Puzzle size (%),Save,64,73.53099711274109,9.53099711274109,2177
collection_2002_4q,20021;20022;20023;20024,finance charges / 0.14 implied balance,cc_debt_implied_from_finance_charges,3023,2250,Puzzle size (%),Borrow,7,6.0787757305841454,-0.9212242694158546,190
collection_2002_4q,20021;20022;20023;20024,finance charges / 0.14 implied balance,cc_debt_implied_from_finance_charges,3023,2250,Puzzle size (%),Borrow and save,29,23.498235647594356,-5.501764352405644,746
collection_2002_4q,20021;20022;20023;20024,finance charges / 0.14 implied balance,cc_debt_implied_from_finance_charges,3023,2250,Puzzle size (%),Save,64,70.42298862182145,6.422988621821446,2087
collection_2002_4q,20021;20022;20023;20024,implied balance capped at average balance 2/5,cc_debt_implied_capped_at_average_balance,3023,2250,Puzzle size (%),Borrow,7,5.128995400048027,-1.8710045999519727,161
collection_2002_4q,20021;20022;20023;20024,implied balance capped at average balance 2/5,cc_debt_implied_capped_at_average_balance,3023,2250,Puzzle size (%),Borrow and save,29,21.230815296527734,-7.769184703472266,682
collection_2002_4q,20021;20022;20023;20024,implied balance capped at average balance 2/5,cc_debt_implied_capped_at_average_balance,3023,2250,Puzzle size (%),Save,64,73.64018930342421,9.640189303424208,2180
collection_2002_4q,20021;20022;20023;20024,finance charges >= 14% of average balance 2/5,cc_debt_apr14_average_balance,3023,2250,Puzzle size (%),Borrow,7,2.270801721796209,-4.729198278203791,74
collection_2002_4q,20021;20022;20023;20024,finance charges >= 14% of average balance 2/5,cc_debt_apr14_average_balance,3023,2250,Puzzle size (%),Borrow and save,29,7.651028461978264,-21.348971538021736,244
collection_2002_4q,20021;20022;20023;20024,finance charges >= 14% of average balance 2/5,cc_debt_apr14_average_balance,3023,2250,Puzzle size (%),Save,64,90.07816981622534,26.07816981622534,2705
collection_2002_4q,20021;20022;20023;20024,fifth-interview balance only,cc_balance_fifth,3023,2250,Puzzle size (%),Borrow,7,8.242607822367601,1.2426078223676011,248
collection_2002_4q,20021;20022;20023;20024,fifth-interview balance only,cc_balance_fifth,3023,2250,Puzzle size (%),Borrow and save,29,31.384108255632224,2.384108255632224,988
collection_2002_4q,20021;20022;20023;20024,fifth-interview balance only,cc_balance_fifth,3023,2250,Puzzle size (%),Save,64,60.37328392200002,-3.62671607799998,1787
collection_2002_4q,20021;20022;20023;20024,average second/fifth balance only,cc_balance_average_2_5,3023,2250,Puzzle size (%),Borrow,7,10.690215449618398,3.690215449618398,318
collection_2002_4q,20021;20022;20023;20024,average second/fifth balance only,cc_balance_average_2_5,3023,2250,Puzzle size (%),Borrow and save,29,38.17345526556009,9.173455265560087,1202
collection_2002_4q,20021;20022;20023;20024,average second/fifth balance only,cc_balance_average_2_5,3023,2250,Puzzle size (%),Save,64,51.13632928482138,-12.863670715178621,1503
