appendix_window,cohort_rule,truncation_rule,fifth_interview_qyears,n_households,n_complete_12_month_households,n_partial_panel_households,weighted_population,statistic,group,paper,share_pct,diff,n_households_in_group
2000Q2-2001Q1,appendix as earliest observed public interview in 2000Q2-2001Q1,exclude fifth-only panels,20004;20011;20012;20013;20014,2718,2251,467,9503450.24725001,Puzzle size (%),Save,64,62.48757503590239,-1.5124249640976117,1656
2000Q2-2001Q1,appendix as earliest observed public interview in 2000Q2-2001Q1,exclude topcoded assets and fifth-only panels,20004;20011;20012;20013;20014,2626,2165,461,9193796.352750016,Puzzle size (%),Borrow,7,8.45764941288278,1.4576494128827804,214
2000Q2-2001Q1,appendix as earliest observed public interview in 2000Q2-2001Q1,exclude topcoded assets and fifth-only panels,20004;20011;20012;20013;20014,2626,2165,461,9193796.352750016,Puzzle size (%),Borrow and save,29,29.613354973711456,0.6133549737114556,828
2000Q2-2001Q1,appendix as earliest observed public interview in 2000Q2-2001Q1,exclude topcoded assets and fifth-only panels,20004;20011;20012;20013;20014,2626,2165,461,9193796.352750016,Puzzle size (%),Save,64,61.928995613405554,-2.0710043865944456,1584
2000Q2-2001Q1,appendix as any observed public interview in 2000Q2-2001Q1,current valid flags,20004;20011;20012;20013;20014,3385,2802,583,11777553.767500022,Puzzle size (%),Borrow,7,8.090226585331516,1.090226585331516,268
2000Q2-2001Q1,appendix as any observed public interview in 2000Q2-2001Q1,current valid flags,20004;20011;20012;20013;20014,3385,2802,583,11777553.767500022,Puzzle size (%),Borrow and save,29,29.630134358883467,0.6301343588834669,1056
2000Q2-2001Q1,appendix as any observed public interview in 2000Q2-2001Q1,current valid flags,20004;20011;20012;20013;20014,3385,2802,583,11777553.767500022,Puzzle size (%),Save,64,62.279639055784706,-1.7203609442152938,2061
2000Q2-2001Q1,appendix as any observed public interview in 2000Q2-2001Q1,exclude topcoded liquid assets,20004;20011;20012;20013;20014,3272,2697,575,11403548.141000018,Puzzle size (%),Borrow,7,8.355564200007343,1.3555642000073433,268
2000Q2-2001Q1,appendix as any observed public interview in 2000Q2-2001Q1,exclude topcoded liquid assets,20004;20011;20012;20013;20014,3272,2697,575,11403548.141000018,Puzzle size (%),Borrow and save,29,29.89709036691997,0.8970903669199686,1031
2000Q2-2001Q1,appendix as any observed public interview in 2000Q2-2001Q1,exclude topcoded liquid assets,20004;20011;20012;20013;20014,3272,2697,575,11403548.141000018,Puzzle size (%),Save,64,61.747345433072404,-2.252654566927596,1973
2000Q2-2001Q1,appendix as any observed public interview in 2000Q2-2001Q1,exclude fifth-only panels,20004;20011;20012;20013;20014,3298,2802,496,11463147.502750019,Puzzle size (%),Borrow,7,8.048261566281614,1.0482615662816137,258
2000Q2-2001Q1,appendix as any observed public interview in 2000Q2-2001Q1,exclude fifth-only panels,20004;20011;20012;20013;20014,3298,2802,496,11463147.502750019,Puzzle size (%),Borrow and save,29,29.87538795674067,0.8753879567406706,1041
2000Q2-2001Q1,appendix as any observed public interview in 2000Q2-2001Q1,exclude fifth-only panels,20004;20011;20012;20013;20014,3298,2802,496,11463147.502750019,Puzzle size (%),Save,64,62.07635047697743,-1.9236495230225685,1999
2000Q2-2001Q1,appendix as any observed public interview in 2000Q2-2001Q1,exclude topcoded assets and fifth-only panels,20004;20011;20012;20013;20014,3187,2697,490,11095313.783000011,Puzzle size (%),Borrow,7,8.315078895412249,1.315078895412249,258
2000Q2-2001Q1,appendix as any observed public interview in 2000Q2-2001Q1,exclude topcoded assets and fifth-only panels,20004;20011;20012;20013;20014,3187,2697,490,11095313.783000011,Puzzle size (%),Borrow and save,29,30.141408716840747,1.141408716840747,1016
2000Q2-2001Q1,appendix as any observed public interview in 2000Q2-2001Q1,exclude topcoded assets and fifth-only panels,20004;20011;20012;20013;20014,3187,2697,490,11095313.783000011,Puzzle size (%),Save,64,61.543512387746794,-2.4564876122532056,1913
2000Q2-2001Q1,appendix as inferred first/bounding interview in 2000Q2-2001Q1,current valid flags,20012;20013;20014;20021,3012,2258,754,10543932.697749976,Puzzle size (%),Borrow,7,7.439665715690635,0.4396657156906354,226
2000Q2-2001Q1,appendix as inferred first/bounding interview in 2000Q2-2001Q1,current valid flags,20012;20013;20014;20021,3012,2258,754,10543932.697749976,Puzzle size (%),Borrow and save,29,28.60713249472528,-0.3928675052747188,915
2000Q2-2001Q1,appendix as inferred first/bounding interview in 2000Q2-2001Q1,current valid flags,20012;20013;20014;20021,3012,2258,754,10543932.697749976,Puzzle size (%),Save,64,63.95320178958426,-0.046798210415737174,1871
2000Q2-2001Q1,appendix as inferred first/bounding interview in 2000Q2-2001Q1,exclude topcoded liquid assets,20012;20013;20014;20021,2932,2185,747,10289221.582499983,Puzzle size (%),Borrow,7,7.623835678047523,0.6238356780475227,226
2000Q2-2001Q1,appendix as inferred first/bounding interview in 2000Q2-2001Q1,exclude topcoded liquid assets,20012;20013;20014;20021,2932,2185,747,10289221.582499983,Puzzle size (%),Borrow and save,29,28.7909415716969,-0.2090584283030985,898
2000Q2-2001Q1,appendix as inferred first/bounding interview in 2000Q2-2001Q1,exclude topcoded liquid assets,20012;20013;20014;20021,2932,2185,747,10289221.582499983,Puzzle size (%),Save,64,63.58522275025569,-0.4147772497443114,1808
2000Q2-2001Q1,appendix as inferred first/bounding interview in 2000Q2-2001Q1,exclude fifth-only panels,20012;20013;20014;20021,2817,2258,559,9823052.944749992,Puzzle size (%),Borrow,7,7.331559755919946,0.3315597559199457,210
2000Q2-2001Q1,appendix as inferred first/bounding interview in 2000Q2-2001Q1,exclude fifth-only panels,20012;20013;20014;20021,2817,2258,559,9823052.944749992,Puzzle size (%),Borrow and save,29,29.349192557196112,0.34919255719611186,877
2000Q2-2001Q1,appendix as inferred first/bounding interview in 2000Q2-2001Q1,exclude fifth-only panels,20012;20013;20014;20021,2817,2258,559,9823052.944749992,Puzzle size (%),Save,64,63.319247686884005,-0.6807523131159954,1730
2000Q2-2001Q1,appendix as inferred first/bounding interview in 2000Q2-2001Q1,exclude topcoded assets and fifth-only panels,20012;20013;20014;20021,2738,2185,553,9572094.354749978,Puzzle size (%),Borrow,7,7.523776613658451,0.523776613658451,210
2000Q2-2001Q1,appendix as inferred first/bounding interview in 2000Q2-2001Q1,exclude topcoded assets and fifth-only panels,20012;20013;20014;20021,2738,2185,553,9572094.354749978,Puzzle size (%),Borrow and save,29,29.594215445591374,0.5942154455913737,861
2000Q2-2001Q1,appendix as inferred first/bounding interview in 2000Q2-2001Q1,exclude topcoded assets and fifth-only panels,20012;20013;20014;20021,2738,2185,553,9572094.354749978,Puzzle size (%),Save,64,62.882007940750384,-1.117992059249616,1667
