sample_window,qyears,truncation_rule,n_households,n_cuids,n_complete_12_month_households,n_partial_panel_households,weighted_population,mean_abs_diff,max_abs_diff,household_gap_vs_target,complete_12_month_gap_vs_target,partial_panel_gap_vs_target,borrow_share,borrow_and_save_share,save_share,total_count_abs_gap
rolling_2001Q1_to_2001Q4,20011;20012;20013;20014,income complete via INC_RANK,2965,0,2251,714,10401203.195250016,0.9687351869799846,1.4531027804698713,222,87,135,8.453102780469871,28.835823764309282,62.711073455220635,309
rolling_2001Q4_to_2002Q3,20014;20021;20022;20023,current valid flags,2997,2237,2227,770,10545163.521250011,0.39569350212146875,0.5935402531821481,254,63,191,7.593540253182148,28.613596255948128,63.792863490869614,317
rolling_2001Q4_to_2002Q3,20014;20021;20022;20023,income complete via INCLASS,2997,2237,2227,770,10545163.521250011,0.39569350212146875,0.5935402531821481,254,63,191,7.593540253182148,28.613596255948128,63.792863490869614,317
rolling_2001Q4_to_2002Q3,20014;20021;20022;20023,income complete via INC_RANK,2997,2237,2227,770,10545163.521250011,0.39569350212146875,0.5935402531821481,254,63,191,7.593540253182148,28.613596255948128,63.792863490869614,317
rolling_2001Q2_to_2002Q1,20012;20013;20014;20021,current valid flags,3012,811,2258,754,10543932.697749976,0.2931104771270305,0.4396657156906354,269,94,175,7.439665715690635,28.60713249472528,63.95320178958426,363
rolling_2001Q2_to_2002Q1,20012;20013;20014;20021,income complete via INCLASS,3012,811,2258,754,10543932.697749976,0.2931104771270305,0.4396657156906354,269,94,175,7.439665715690635,28.60713249472528,63.95320178958426,363
rolling_2001Q2_to_2002Q1,20012;20013;20014;20021,income complete via INC_RANK,3012,811,2258,754,10543932.697749976,0.2931104771270305,0.4396657156906354,269,94,175,7.439665715690635,28.60713249472528,63.95320178958426,363
rolling_2002Q1_to_2002Q4,20021;20022;20023;20024,current valid flags,3023,3023,2250,773,10604153.719750011,0.4778768269263507,0.7168152403895824,280,86,194,7.1181897792009226,28.283184759610418,64.59862546118855,366
rolling_2002Q1_to_2002Q4,20021;20022;20023;20024,income complete via INCLASS,3023,3023,2250,773,10604153.719750011,0.4778768269263507,0.7168152403895824,280,86,194,7.1181897792009226,28.283184759610418,64.59862546118855,366
rolling_2002Q1_to_2002Q4,20021;20022;20023;20024,income complete via INC_RANK,3023,3023,2250,773,10604153.719750011,0.4778768269263507,0.7168152403895824,280,86,194,7.1181897792009226,28.283184759610418,64.59862546118855,366
rolling_2001Q2_to_2002Q1,20012;20013;20014;20021,require interviews 2-5 consecutive,2258,602,2258,0,7849979.982499999,0.7652800306572765,1.1479200459858916,-485,94,-579,6.965753090695859,30.14792004598589,62.8863268633182,579
rolling_2001Q2_to_2002Q1,20012;20013;20014;20021,require interviews 2-5 present,2258,602,2258,0,7849979.982499999,0.7652800306572765,1.1479200459858916,-485,94,-579,6.965753090695859,30.14792004598589,62.8863268633182,579
