candidate,less_than_hs_variable,college_variable,characteristic,group,paper,replication,diff
raw less-HS + four-plus years or non-associate degree,less_than_hs_raw,college_degree_years16_or_nonassociate,College degree or more,Borrow,14,15.35948279183075,1.3594827918307502
raw less-HS + four-plus years or non-associate degree,less_than_hs_raw,college_degree_years16_or_nonassociate,Education: less than HS,Borrow and save,5,6.332948240534026,1.3329482405340256
raw less-HS + four-plus years or non-associate degree,less_than_hs_raw,college_degree_years16_or_nonassociate,HS/some college,Borrow and save,61,60.040058551382124,-0.9599414486178759
raw less-HS + four-plus years or non-associate degree,less_than_hs_raw,college_degree_years16_or_nonassociate,College degree or more,Borrow and save,33,33.6269932080838,0.6269932080838032
raw less-HS + four-plus years or non-associate degree,less_than_hs_raw,college_degree_years16_or_nonassociate,Education: less than HS,Save,13,17.875448697353907,4.875448697353907
raw less-HS + four-plus years or non-associate degree,less_than_hs_raw,college_degree_years16_or_nonassociate,HS/some college,Save,51,48.20929161812686,-2.790708381873138
raw less-HS + four-plus years or non-associate degree,less_than_hs_raw,college_degree_years16_or_nonassociate,College degree or more,Save,36,33.91525968451934,-2.0847403154806585
raw less-HS + four-plus years or non-associate degree,less_than_hs_raw,college_degree_years16_or_nonassociate,Education: less than HS,Population,11,14.722148846871159,3.7221488468711588
raw less-HS + four-plus years or non-associate degree,less_than_hs_raw,college_degree_years16_or_nonassociate,HS/some college,Population,55,52.35303288014841,-2.6469671198515883
raw less-HS + four-plus years or non-associate degree,less_than_hs_raw,college_degree_years16_or_nonassociate,College degree or more,Population,34,32.92481827298074,-1.0751817270192632
summary less-HS + any reported college degree including associate,less_than_hs_summary,college_degree_include_associate,Education: less than HS,Borrow,13,13.712796849357508,0.7127968493575079
summary less-HS + any reported college degree including associate,less_than_hs_summary,college_degree_include_associate,HS/some college,Borrow,73,64.79301972211327,-8.206980277886728
summary less-HS + any reported college degree including associate,less_than_hs_summary,college_degree_include_associate,College degree or more,Borrow,14,21.49418342852922,7.494183428529219
summary less-HS + any reported college degree including associate,less_than_hs_summary,college_degree_include_associate,Education: less than HS,Borrow and save,5,4.181296223427742,-0.8187037765722582
summary less-HS + any reported college degree including associate,less_than_hs_summary,college_degree_include_associate,HS/some college,Borrow and save,61,55.511501327695534,-5.488498672304466
summary less-HS + any reported college degree including associate,less_than_hs_summary,college_degree_include_associate,College degree or more,Borrow and save,33,40.307202448876666,7.307202448876666
summary less-HS + any reported college degree including associate,less_than_hs_summary,college_degree_include_associate,Education: less than HS,Save,13,14.881662329660303,1.881662329660303
summary less-HS + any reported college degree including associate,less_than_hs_summary,college_degree_include_associate,HS/some college,Save,51,47.14388295471662,-3.8561170452833835
summary less-HS + any reported college degree including associate,less_than_hs_summary,college_degree_include_associate,College degree or more,Save,36,37.9744547156231,1.9744547156230965
summary less-HS + any reported college degree including associate,less_than_hs_summary,college_degree_include_associate,Education: less than HS,Population,11,11.961114504354011,0.9611145043540112
summary less-HS + any reported college degree including associate,less_than_hs_summary,college_degree_include_associate,HS/some college,Population,55,50.25143110939896,-4.748568890601042
summary less-HS + any reported college degree including associate,less_than_hs_summary,college_degree_include_associate,College degree or more,Population,34,37.787454386247134,3.787454386247134
