QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,TELBSNZ,TELBSNZ_,TELRESD,TELRESD_,TELCELL,TELCELL_,TINTNET,TINTNET_,TCABLE,TCABLE_,BILPERD,BILPERD_,QADINE1X,QADI_E1X,QADINE2X,QADI_E2X,QADINE3X,QADI_E3X,QADCAB1X,QADC_B1X,QADCAB2X,QADC_B2X,QADCAB3X,QADC_B3X,TELRES1X,TELR_S1X,TELRES2X,TELR_S2X,TELRES3X,TELR_S3X,TELCEL1X,TELC_L1X,TELCEL2X,TELC_L2X,TELCEL3X,TELC_L3X,TELBLPRS,TELB_PRS,TPHONE,TPHONE_
20181,03763712,24,0,1,,A,,A,,A,1,D,2,D,,A,50,D,50,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20181,03763722,6,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,42,D,42,D,42,D,,A,1,D
20181,03763752,8,0,1,,A,1,D,,A,1,D,1,D,,A,20,E,22,E,21,E,33,E,32,E,32,E,22,E,21,E,22,E,,A,,A,,A,2,D,1,D
20181,03763782,35,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,35,D,35,D,35,D,,A,1,D
20181,03763782,36,0,1,,A,,A,,A,1,D,2,D,,A,55,D,55,D,55,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20181,03763802,33,0,1,,A,1,D,,A,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,53,D,53,D,53,D,,A,,A,,A,,A,1,D
20181,03763802,34,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,106,D,106,D,106,D,,A,,A,,A,,A,,A,,A,,A,2,D
20181,03763822,22,0,1,,A,1,D,,A,1,D,1,D,,A,51,E,52,E,51,E,77,E,78,E,77,E,46,E,44,E,46,E,,A,,A,,A,2,D,1,D
20181,03763832,41,0,1,,A,1,D,,A,1,D,2,D,,A,163,E,163,E,163,E,,A,,A,,A,97,E,97,E,97,E,,A,,A,,A,2,D,1,D
20181,03763842,23,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,200,D,200,D,200,D,,A,1,D
