NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE,VALUE_
03891244,12,2018,980350,2,8.3333,
03891254,10,2018,005100,2,833.3333,
03891254,10,2018,005110,2,83.3333,
03891254,10,2018,005400,2,41.6667,
03891254,10,2018,005500,2,15000.0000,
03891254,10,2018,005510,2,12500.0000,
03891254,10,2018,800940,2,116.2500,
03891254,10,2018,900000,2,1520.0000,
03891254,10,2018,950004,2,-15.0000,
03891254,10,2018,950014,2,6.6667,
03891254,10,2018,980000,2,1520.0000,
03891254,10,2018,980010,2,0.1667,
03891254,10,2018,980020,2,2.2500,
03891254,10,2018,980030,2,0.0833,
03891254,10,2018,980071,2,1528.3333,
03891254,10,2018,980220,2,8.3333,
03891254,10,2018,980260,2,8.3333,
03891254,10,2018,980281,2,8.3333,
03891254,10,2018,980286,2,8.3333,
03891254,10,2018,980310,2,8.3333,
03891254,10,2018,980340,2,8.3333,
03891254,10,2018,980350,2,8.3333,
03891254,10,2018,980360,2,0.1667,
03891254,11,2018,005100,2,833.3333,
03891254,11,2018,005110,2,83.3333,
03891254,11,2018,005400,2,41.6667,
03891254,11,2018,005500,2,15000.0000,
03891254,11,2018,005510,2,12500.0000,
03891254,11,2018,800940,2,116.2500,
03891254,11,2018,900000,2,1520.0000,
03891254,11,2018,950004,2,-15.0000,
03891254,11,2018,950014,2,6.6667,
03891254,11,2018,980000,2,1520.0000,
03891254,11,2018,980010,2,0.1667,
03891254,11,2018,980020,2,2.2500,
03891254,11,2018,980030,2,0.0833,
03891254,11,2018,980071,2,1528.3333,
03891254,11,2018,980220,2,8.3333,
03891254,11,2018,980260,2,8.3333,
03891254,11,2018,980281,2,8.3333,
03891254,11,2018,980286,2,8.3333,
03891254,11,2018,980310,2,8.3333,
03891254,11,2018,980340,2,8.3333,
03891254,11,2018,980350,2,8.3333,
03891254,11,2018,980360,2,0.1667,
03891254,12,2018,005100,2,833.3333,
03891254,12,2018,005110,2,83.3333,
03891254,12,2018,005400,2,41.6667,
03891254,12,2018,005500,2,15000.0000,
03891254,12,2018,005510,2,12500.0000,
