NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE,VALUE_
03944164,01,2019,980230,2,8.3333,
03944164,01,2019,980281,2,8.3333,
03944164,01,2019,980286,2,8.3333,
03944164,01,2019,980310,2,8.3333,
03944164,01,2019,980330,2,8.3333,
03944164,01,2019,980350,2,8.3333,
03944164,02,2019,005100,2,166.6667,
03944164,02,2019,005110,2,166.6667,
03944164,02,2019,005400,2,16.6667,
03944164,02,2019,800940,2,477.1667,
03944164,02,2019,900000,2,6237.2000,
03944164,02,2019,900180,2,10.3167,
03944164,02,2019,950004,2,344.0833,
03944164,02,2019,950014,2,290.5000,
03944164,02,2019,980000,2,6247.5167,
03944164,02,2019,980010,2,0.2500,
03944164,02,2019,980020,2,4.5000,
03944164,02,2019,980030,2,0.1667,
03944164,02,2019,980040,2,0.0833,
03944164,02,2019,980050,2,0.1667,
03944164,02,2019,980071,2,5612.9333,
03944164,02,2019,980090,1,8.3333,
03944164,02,2019,980220,2,8.3333,
03944164,02,2019,980230,2,8.3333,
03944164,02,2019,980281,2,8.3333,
03944164,02,2019,980286,2,8.3333,
03944164,02,2019,980310,2,8.3333,
03944164,02,2019,980330,2,8.3333,
03944164,02,2019,980350,2,8.3333,
03944164,03,2019,005100,2,166.6667,
03944164,03,2019,005110,2,166.6667,
03944164,03,2019,005400,2,16.6667,
03944164,03,2019,800940,2,477.1667,
03944164,03,2019,900000,2,6237.2000,
03944164,03,2019,900180,2,10.3167,
03944164,03,2019,950004,2,344.0833,
03944164,03,2019,950014,2,290.5000,
03944164,03,2019,980000,2,6247.5167,
03944164,03,2019,980010,2,0.2500,
03944164,03,2019,980020,2,4.5000,
03944164,03,2019,980030,2,0.1667,
03944164,03,2019,980040,2,0.0833,
03944164,03,2019,980050,2,0.1667,
03944164,03,2019,980071,2,5612.9333,
03944164,03,2019,980090,1,8.3333,
03944164,03,2019,980220,2,8.3333,
03944164,03,2019,980230,2,8.3333,
03944164,03,2019,980281,2,8.3333,
03944164,03,2019,980286,2,8.3333,
03944164,03,2019,980310,2,8.3333,
03944164,03,2019,980330,2,8.3333,
03944164,03,2019,980350,2,8.3333,
03944184,01,2019,005100,2,0.0833,
03944184,01,2019,005110,2,0.0833,
03944184,01,2019,900030,2,974.5000,
03944184,01,2019,900150,2,100.0000,
03944184,01,2019,980000,2,1074.5000,
03944184,01,2019,980010,2,0.0833,
03944184,01,2019,980020,2,4.6667,
03944184,01,2019,980040,2,0.1667,
03944184,01,2019,980071,2,1074.5000,
03944184,01,2019,980090,1,8.3333,
03944184,01,2019,980220,2,8.3333,
03944184,01,2019,980230,2,8.3333,
03944184,01,2019,980281,2,8.3333,
03944184,01,2019,980286,2,8.3333,
03944184,01,2019,980300,2,8.3333,
03944184,01,2019,980330,2,8.3333,
03944184,01,2019,980350,2,8.3333,
03944184,02,2019,005100,2,0.0833,
03944184,02,2019,005110,2,0.0833,
03944184,02,2019,900030,2,974.5000,
03944184,02,2019,900150,2,100.0000,
03944184,02,2019,980000,2,1074.5000,
03944184,02,2019,980010,2,0.0833,
03944184,02,2019,980020,2,4.6667,
03944184,02,2019,980040,2,0.1667,
03944184,02,2019,980071,2,1074.5000,
03944184,02,2019,980090,1,8.3333,
03944184,02,2019,980220,2,8.3333,
03944184,02,2019,980230,2,8.3333,
03944184,02,2019,980281,2,8.3333,
03944184,02,2019,980286,2,8.3333,
03944184,02,2019,980300,2,8.3333,
03944184,02,2019,980330,2,8.3333,
03944184,02,2019,980350,2,8.3333,
03944184,03,2019,005100,2,0.0833,
03944184,03,2019,005110,2,0.0833,
03944184,03,2019,900030,2,974.5000,
03944184,03,2019,900150,2,100.0000,
03944184,03,2019,980000,2,1074.5000,
03944184,03,2019,980010,2,0.0833,
03944184,03,2019,980020,2,4.6667,
03944184,03,2019,980040,2,0.1667,
03944184,03,2019,980071,2,1074.5000,
03944184,03,2019,980090,1,8.3333,
03944184,03,2019,980220,2,8.3333,
03944184,03,2019,980230,2,8.3333,
03944184,03,2019,980281,2,8.3333,
03944184,03,2019,980286,2,8.3333,
03944184,03,2019,980300,2,8.3333,
03944184,03,2019,980330,2,8.3333,
03944184,03,2019,980350,2,8.3333,
03944194,01,2019,005400,2,8.3333,
03944194,01,2019,005410,2,416.6667,
03944194,01,2019,800940,2,262.0000,
03944194,01,2019,900000,2,3425.0000,
03944194,01,2019,950004,2,141.6667,
03944194,01,2019,980000,2,3425.0000,
03944194,01,2019,980010,2,0.1667,
03944194,01,2019,980020,2,4.8333,
03944194,01,2019,980030,2,0.1667,
03944194,01,2019,980040,2,0.0833,
03944194,01,2019,980071,2,3283.3333,
03944194,01,2019,980090,1,8.3333,
03944194,01,2019,980220,2,8.3333,
03944194,01,2019,980230,2,8.3333,
03944194,01,2019,980281,2,8.3333,
03944194,01,2019,980285,2,8.3333,
03944194,01,2019,980310,2,8.3333,
03944194,01,2019,980330,2,8.3333,
03944194,01,2019,980350,2,8.3333,
03944194,02,2019,005400,2,8.3333,
