ucc,n_2019_records,detail,component,exclusion_group,fred_series,tely_group,liquid_payment_share,share_column,application_status,present_in_2019_mtbi
250222,0,utilities,utilities,other,CUUR0000SAH2,utilities,0.8987863547309345,weighted_dollar_share_broad,dcpc_share_applied,FALSE
250223,0,utilities,utilities,other,CUUR0000SAH2,utilities,0.8987863547309345,weighted_dollar_share_broad,dcpc_share_applied,FALSE
250224,0,utilities,utilities,other,CUUR0000SAH2,utilities,0.8987863547309345,weighted_dollar_share_broad,dcpc_share_applied,FALSE
250901,0,utilities,utilities,other,CUUR0000SAH2,utilities,0.8987863547309345,weighted_dollar_share_broad,dcpc_share_applied,FALSE
250902,0,utilities,utilities,other,CUUR0000SAH2,utilities,0.8987863547309345,weighted_dollar_share_broad,dcpc_share_applied,FALSE
250903,0,utilities,utilities,other,CUUR0000SAH2,utilities,0.8987863547309345,weighted_dollar_share_broad,dcpc_share_applied,FALSE
250904,0,utilities,utilities,other,CUUR0000SAH2,utilities,0.8987863547309345,weighted_dollar_share_broad,dcpc_share_applied,FALSE
260111,17545,utilities,utilities,other,CUUR0000SAH2,utilities,0.8987863547309345,weighted_dollar_share_broad,dcpc_share_applied,TRUE
260112,41194,utilities,utilities,other,CUUR0000SAH2,utilities,0.8987863547309345,weighted_dollar_share_broad,dcpc_share_applied,TRUE
260113,805,utilities,utilities,other,CUUR0000SAH2,utilities,0.8987863547309345,weighted_dollar_share_broad,dcpc_share_applied,TRUE
260114,342,utilities,utilities,other,CUUR0000SAH2,utilities,0.8987863547309345,weighted_dollar_share_broad,dcpc_share_applied,TRUE
260211,7282,utilities,utilities,other,CUUR0000SAH2,utilities,0.8987863547309345,weighted_dollar_share_broad,dcpc_share_applied,TRUE
260212,24197,utilities,utilities,other,CUUR0000SAH2,utilities,0.8987863547309345,weighted_dollar_share_broad,dcpc_share_applied,TRUE
260213,296,utilities,utilities,other,CUUR0000SAH2,utilities,0.8987863547309345,weighted_dollar_share_broad,dcpc_share_applied,TRUE
260214,163,utilities,utilities,other,CUUR0000SAH2,utilities,0.8987863547309345,weighted_dollar_share_broad,dcpc_share_applied,TRUE
270101,0,utilities,utilities,other,CUUR0000SAH2,utilities,0.8987863547309345,weighted_dollar_share_broad,dcpc_share_applied,FALSE
270102,53890,utilities,utilities,other,CUUR0000SAH2,utilities,0.8987863547309345,weighted_dollar_share_broad,dcpc_share_applied,TRUE
270103,0,utilities,utilities,other,CUUR0000SAH2,utilities,0.8987863547309345,weighted_dollar_share_broad,dcpc_share_applied,FALSE
270104,130,utilities,utilities,other,CUUR0000SAH2,utilities,0.8987863547309345,weighted_dollar_share_broad,dcpc_share_applied,TRUE
270211,6294,utilities,utilities,other,CUUR0000SAH2,utilities,0.8987863547309345,weighted_dollar_share_broad,dcpc_share_applied,TRUE
270212,27477,utilities,utilities,other,CUUR0000SAH2,utilities,0.8987863547309345,weighted_dollar_share_broad,dcpc_share_applied,TRUE
270213,240,utilities,utilities,other,CUUR0000SAH2,utilities,0.8987863547309345,weighted_dollar_share_broad,dcpc_share_applied,TRUE
270214,230,utilities,utilities,other,CUUR0000SAH2,utilities,0.8987863547309345,weighted_dollar_share_broad,dcpc_share_applied,TRUE
270411,3540,utilities,utilities,other,CUUR0000SAH2,utilities,0.8987863547309345,weighted_dollar_share_broad,dcpc_share_applied,TRUE
270412,17721,utilities,utilities,other,CUUR0000SAH2,utilities,0.8987863547309345,weighted_dollar_share_broad,dcpc_share_applied,TRUE
270413,240,utilities,utilities,other,CUUR0000SAH2,utilities,0.8987863547309345,weighted_dollar_share_broad,dcpc_share_applied,TRUE
270414,112,utilities,utilities,other,CUUR0000SAH2,utilities,0.8987863547309345,weighted_dollar_share_broad,dcpc_share_applied,TRUE
270901,2,utilities,utilities,other,CUUR0000SAH2,utilities,0.8987863547309345,weighted_dollar_share_broad,dcpc_share_applied,TRUE
270902,187,utilities,utilities,other,CUUR0000SAH2,utilities,0.8987863547309345,weighted_dollar_share_broad,dcpc_share_applied,TRUE
270903,10,utilities,utilities,other,CUUR0000SAH2,utilities,0.8987863547309345,weighted_dollar_share_broad,dcpc_share_applied,TRUE
270904,0,utilities,utilities,other,CUUR0000SAH2,utilities,0.8987863547309345,weighted_dollar_share_broad,dcpc_share_applied,FALSE
