detail,component,exclusion_group,fred_series,ucc
utilities,utilities,other,CUUR0000SAH2,250901
utilities,utilities,other,CUUR0000SAH2,250902
utilities,utilities,other,CUUR0000SAH2,250903
utilities,utilities,other,CUUR0000SAH2,250904
utilities,utilities,other,CUUR0000SAH2,270101
utilities,utilities,other,CUUR0000SAH2,270102
utilities,utilities,other,CUUR0000SAH2,270103
utilities,utilities,other,CUUR0000SAH2,270104
utilities,utilities,other,CUUR0000SAH2,270211
utilities,utilities,other,CUUR0000SAH2,270212
utilities,utilities,other,CUUR0000SAH2,270213
utilities,utilities,other,CUUR0000SAH2,270214
utilities,utilities,other,CUUR0000SAH2,270411
utilities,utilities,other,CUUR0000SAH2,270412
utilities,utilities,other,CUUR0000SAH2,270413
utilities,utilities,other,CUUR0000SAH2,270414
utilities,utilities,other,CUUR0000SAH2,270901
utilities,utilities,other,CUUR0000SAH2,270902
utilities,utilities,other,CUUR0000SAH2,270903
utilities,utilities,other,CUUR0000SAH2,270904
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,280110
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,280120
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,280130
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,280210
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,280220
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,280230
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,280900
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,290110
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,290120
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,290210
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,290310
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,290320
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,290410
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,290420
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,290430
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,290440
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,230133
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,230134
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,320111
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,320163
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,230117
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,230118
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,300111
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,300112
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,300211
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,300212
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,300221
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,300222
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,300311
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,300312
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,300321
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,300322
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,300331
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,300332
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,300411
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,300412
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,320511
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,320512
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,320310
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,320320
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,320330
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,320340
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,320350
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,320360
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,320370
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,320521
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,320522
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,320120
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,320130
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,320150
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,320210
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,320220
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,320231
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,320232
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,320410
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,320420
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,320901
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,320902
household_furnishings_equipment,household_repairs_operations,other,CUUR0000SAH3,320903
