detail,component,exclusion_group,appendix_role,n_positive,mean_nominal,p50_nominal,p95_nominal,spec_id
household_operations_total,household_operations,other,cash_good,50170,180.52324359572046,20,866,appendix_housop_interest_cashco_nonhealth_insurance
life_other_personal_insurance,nonhealth_insurance_pensions,other,insurance_sensitivity,37015,106.1152090146686,0,478,appendix_housop_interest_cashco_nonhealth_insurance
mortgage_interest,mortgage,other,cash_good,38421,737.6635041684442,0,3311,appendix_housop_interest_cashco_nonhealth_insurance
owned_dwelling_repairs_insurance_other,home_repairs_maintenance,other,cash_good,36771,231.17026065688856,0,975.5999999999913,appendix_housop_interest_cashco_nonhealth_insurance
personal_insurance_pensions,nonhealth_insurance_pensions,other,insurance_sensitivity,70309,947.8399643202458,459,3446.25,appendix_housop_interest_cashco_nonhealth_insurance
property_taxes,property_taxes,property_taxes,cash_good,60607,310.0624157799871,150,1050,appendix_housop_interest_cashco_nonhealth_insurance
public_transportation,public_transportation,other,cash_good,19637,107.94888234627494,0,600,appendix_housop_interest_cashco_nonhealth_insurance
rent_total,rent,other,cash_good,29846,539.6791372006298,0,2505,appendix_housop_interest_cashco_nonhealth_insurance
tobacco,tobacco,food_alcohol_tobacco,cash_good,23159,78.0067350710751,0,442,appendix_housop_interest_cashco_nonhealth_insurance
utilities,utilities,other,cash_good,90737,666.2402168042959,614,1389,appendix_housop_interest_cashco_nonhealth_insurance
vehicle_insurance,nonhealth_insurance_pensions,other,insurance_sensitivity,51373,211.77754751806813,118,750,appendix_housop_interest_cashco_nonhealth_insurance
alcohol,alcohol,food_alcohol_tobacco,cash_good,40090,81.95368545046615,0,380,appendix_housop_interest_no_cashco
food_total,food,food_alcohol_tobacco,cash_good,92245,1338.4300315621501,1145,2975,appendix_housop_interest_no_cashco
health_insurance,health_insurance,other,cash_good,58778,270.71615992295915,144,1027.99992,appendix_housop_interest_no_cashco
household_operations_total,household_operations,other,cash_good,50170,180.52324359572046,20,866,appendix_housop_interest_no_cashco
mortgage_interest,mortgage,other,cash_good,38421,737.6635041684442,0,3311,appendix_housop_interest_no_cashco
owned_dwelling_repairs_insurance_other,home_repairs_maintenance,other,cash_good,36771,231.17026065688856,0,975.5999999999913,appendix_housop_interest_no_cashco
property_taxes,property_taxes,property_taxes,cash_good,60607,310.0624157799871,150,1050,appendix_housop_interest_no_cashco
public_transportation,public_transportation,other,cash_good,19637,107.94888234627494,0,600,appendix_housop_interest_no_cashco
rent_total,rent,other,cash_good,29846,539.6791372006298,0,2505,appendix_housop_interest_no_cashco
tobacco,tobacco,food_alcohol_tobacco,cash_good,23159,78.0067350710751,0,442,appendix_housop_interest_no_cashco
utilities,utilities,other,cash_good,90737,666.2402168042959,614,1389,appendix_housop_interest_no_cashco
